group,scenario,a_tag,linex_a,seed,train_run_id,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maintenance_run_id,maint_count,early_count,fail_count,total_cost,maintenance_utilization
G3,A_sigma_3,a_0p2,0.2,1,20260327_233142_974354,5.985606670379639,4.689471244812012,2722.29541015625,-3.487792491912842,0.2740145426712591,0.01990049751243781,0.0030616150019135095,0.0,0.0,20260328_080541_010494,160,37,50,1234.0,1.0
G3,A_sigma_3,a_0p2,0.2,2,20260327_233246_185513,5.394466876983643,4.1628642082214355,2376.4375,-2.878819227218628,0.29295828549559894,0.01894374282433984,0.0,0.0,0.0,20260328_080541_152980,160,38,48,1196.0,1.0
G3,A_sigma_3,a_0p3,0.3,0,20260327_233348_484891,6.7329936027526855,5.427296161651611,3216.628662109375,-4.472304821014404,0.20359739762724838,0.022196708763872943,0.0013394565633371603,0.0,0.0,20260328_080541_289866,160,35,45,1130.0,1.0
G3,A_sigma_3,a_0p3,0.3,1,20260327_233451_557106,6.185973644256592,4.842965126037598,2884.454833984375,-3.1980862617492676,0.310371220818982,0.04362801377726751,0.004018369690011481,0.0,0.0,20260328_080541_433599,160,35,48,1190.0,1.0
G3,A_sigma_3,a_0p3,0.3,2,20260327_233553_733993,7.131326675415039,5.700241565704346,3442.620849609375,-4.8911662101745605,0.1859931113662457,0.017604286261002678,0.0003827018752391887,0.0,0.0,20260328_080541_573039,160,30,46,1140.0,1.0
G3,A_sigma_3,a_0p4,0.4,0,20260327_233657_248145,8.235755920410156,6.665921211242676,4196.3359375,-6.321068286895752,0.11691542288557213,0.0009567546880979717,0.0,0.0,0.0,20260328_080541_723433,160,38,48,1196.0,1.0
G3,A_sigma_3,a_0p4,0.4,1,20260327_233759_169673,7.54610013961792,5.993000030517578,3706.783447265625,-5.210833549499512,0.18503635667814772,0.015308075009567547,0.0,0.0,0.0,20260328_080541_866662,160,29,44,1098.0,1.0
G3,A_sigma_3,a_0p4,0.4,2,20260327_233902_522393,7.932286262512207,6.530794143676758,4063.1259765625,-5.791329383850098,0.15652506697282817,0.015690776884806735,0.00019135093761959434,0.0,0.0,20260328_080542_007095,160,13,57,1326.0,1.0
G4,A_sigma_3,a_0p02,0.02,0,20260327_231918_824735,4.065375328063965,3.2535057067871094,1773.658447265625,-1.7815426588058472,0.2399540757749713,0.04535017221584386,0.012055109070034443,5.736755847930908,10.259731769561768,20260328_080542_150241,160,26,30,812.0,1.0
G4,A_sigma_3,a_0p02,0.02,1,20260327_232032_409349,3.670217752456665,2.709357738494873,1489.2535400390625,-1.119000792503357,0.351894374282434,0.03731343283582089,0.0015308075009567547,5.696562767028809,10.222304344177246,20260328_080542_290093,160,27,33,874.0,1.0
