scenario,group,a_tag,linex_a,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maint_count,early_count,fail_count,total_cost,maintenance_utilization,n_seeds,rmse_std,mae_std,nasa_std,bias_std,over_rate_std,danger_over_5_std,danger_over_10_std,pred_std_mean_std,pred_std_p90_std,maint_count_std,early_count_std,fail_count_std,total_cost_std,maintenance_utilization_std
A_sigma_3,G4,a_0p2,0.2,5.872794946034749,4.581434567769368,2662.0245768229165,-3.254268010457357,0.2892588340349534,0.02436535272356168,0.0018497257303227452,5.505586624145508,9.778027057647705,160.0,14.333333333333334,35.666666666666664,902.0,1.0,3,0.30060158284951705,0.3042054808930551,189.09853406368507,0.3225229973409802,0.014493912526940171,0.0036120921379685592,0.0019166959052579055,0.0804702852490877,0.06309159693985371,0.0,2.309401076758503,1.5275252316519474,34.17601498127012,0.0
A_sigma_3,G4,a_0p3,0.3,6.775038719177246,5.364558696746826,3238.0113118489585,-4.155810515085856,0.243398392652124,0.03004209720627631,0.0023599948973083303,5.429208437601726,9.622863133748373,160.0,14.333333333333334,41.333333333333336,1015.3333333333334,1.0,3,0.442212347663218,0.41300690014171404,257.3576801430602,0.9061584459298918,0.07128971723533174,0.01510218409672839,0.002046053697199316,0.05282403299823715,0.07015899196690004,0.0,5.507570547286102,9.291573243177568,174.8180005987179,0.0
A_sigma_3,G4,a_0p4,0.4,7.981663862864177,6.408443450927734,4036.467529296875,-5.737312316894531,0.16181910958030363,0.011353488965429264,0.00019135093761959434,5.307717005411784,9.528042157491049,160.0,14.333333333333334,44.333333333333336,1075.3333333333333,1.0,3,0.2977354667540659,0.3182621930103648,217.72612419920637,0.5411322978473034,0.03903574760654957,0.009008409786586328,0.00019135093761959434,0.09552342190722114,0.15001490292690134,0.0,8.504900548115383,7.505553499465135,142.3001522604011,0.0
A_sigma_5,G3,a_0p02,0.02,5.227060635884603,3.483355760574341,2503.3924967447915,0.5936726784954468,0.5303449183780937,0.14316745655608218,0.030344918378093732,0.0,0.0,160.0,32.666666666666664,36.666666666666664,958.6666666666666,1.0,3,0.09348995187649818,0.054343996197102055,80.56139609641255,0.5872390476209967,0.07445161686510651,0.02936168877376993,0.006326310740137214,0.0,0.0,0.0,5.507570547286102,6.429100507328638,127.9114276885898,0.0
A_sigma_5,G3,a_0p03,0.03,4.940305391947429,3.456242243448893,2311.9031575520835,0.47720421353975934,0.53021327014218,0.13566350710900474,0.025013164823591366,0.0,0.0,160.0,29.666666666666668,39.666666666666664,1012.6666666666666,1.0,3,0.2434608341214532,0.07884033944776728,166.87522808201038,0.3605957238909351,0.03293291861339249,0.022330098335097495,0.005391151982475847,0.0,0.0,0.0,7.505553499465135,5.686240703077328,124.35969336297568,0.0
A_sigma_5,G3,a_0p04,0.04,4.895568370819092,3.542586406071981,2320.2420247395835,0.4827883541584015,0.5473933649289099,0.1409294365455503,0.02119536598209584,0.0,0.0,160.0,34.0,40.333333333333336,1034.6666666666667,1.0,3,0.1920910760844591,0.13820335257089042,134.90697495695244,0.35535689900943607,0.03421233464092846,0.023697779507693664,0.009284001235666254,0.0,0.0,0.0,6.082762530298219,3.7859388972001833,63.88531390964075,0.0
A_sigma_5,G3,a_0p05,0.05,4.7928751309712725,3.5687571366628013,2243.530517578125,0.1316763162612915,0.5181674565560822,0.12197209057398632,0.0190231700895208,0.0,0.0,160.0,32.0,36.0,944.0,1.0,3,0.055600929119933494,0.0897438575027472,143.8106829187768,0.8616940811357278,0.07921890891888798,0.044024083429051515,0.007499617662702644,0.0,0.0,0.0,5.5677643628300215,6.244997998398398,126.34872377669669,0.0
A_sigma_5,G3,a_0p07,0.07,4.7092563311258955,3.5470942656199136,2071.6900227864585,-0.9620010455449423,0.416535018430753,0.07898894154818326,0.009149552395997894,0.0,0.0,160.0,24.0,37.0,948.0,1.0,3,0.11194206664512206,0.14009195160100343,33.53439341325302,0.6181139099569716,0.04887603653648932,0.021472791815273597,0.005642090762006241,0.0,0.0,0.0,7.0,7.0,138.69390758068647,0.0
A_sigma_5,G3,a_0p09,0.09,4.791088740030925,3.69307271639506,2132.0951334635415,-1.1423933133482933,0.4082411795681938,0.07944971037388099,0.009741969457609268,0.0,0.0,160.0,21.0,39.333333333333336,988.6666666666666,1.0,3,0.14625245118305605,0.15993556608389248,128.92137004755108,0.903963537981026,0.08853223961711862,0.040616147795433356,0.005590014151016888,0.0,0.0,0.0,7.0,3.5118845842842465,58.045958802773974,0.0
A_sigma_5,G3,a_0p1,0.1,4.852410952250163,3.7189225355784097,2166.5732421875,-1.086408923069636,0.41574512901527116,0.08471563981042655,0.011190100052659295,0.0,0.0,160.0,25.0,48.666666666666664,1183.3333333333333,1.0,3,0.10186786772428956,0.041824467663695214,147.92769522321342,1.2865712932695912,0.11179138840523417,0.06251271118516324,0.0070686644332063195,0.0,0.0,0.0,7.810249675906654,9.50438495292217,204.00326794768102,0.0
